date,day,work,weekend,longweekend,reportweek,dayofmonth,month,year
2016-01-01,piątek,1,0,1,1,1,1,2016
2016-01-02,sobota,1,1,1,1,2,1,2016
2016-01-03,niedziela,0,1,1,1,3,1,2016
2016-01-04,poniedziałek,1,0,1,2,4,1,2016
2016-01-05,wtorek,1,0,1,2,5,1,2016
2016-01-06,środa,1,0,1,2,6,1,2016
2016-01-07,czwartek,1,0,1,2,7,1,2016
2016-01-08,piątek,1,0,1,2,8,1,2016
2016-01-09,sobota,1,1,1,2,9,1,2016
2016-01-10,niedziela,0,1,1,2,10,1,2016
2016-01-11,poniedziałek,1,0,0,3,11,1,2016
2016-01-12,wtorek,1,0,0,3,12,1,2016
2016-01-13,środa,1,0,0,3,13,1,2016
2016-01-14,czwartek,1,0,0,3,14,1,2016
2016-01-15,piątek,1,0,0,3,15,1,2016
2016-01-16,sobota,1,1,1,3,16,1,2016
2016-01-17,niedziela,0,1,1,3,17,1,2016
2016-01-18,poniedziałek,1,0,0,4,18,1,2016
2016-01-19,wtorek,1,0,0,4,19,1,2016
2016-01-20,środa,1,0,0,4,20,1,2016
2016-01-21,czwartek,1,0,0,4,21,1,2016
2016-01-22,piątek,1,0,0,4,22,1,2016
2016-01-23,sobota,1,1,1,4,23,1,2016
2016-01-24,niedziela,0,1,1,4,24,1,2016
2016-01-25,poniedziałek,1,0,0,5,25,1,2016
2016-01-26,wtorek,1,0,0,5,26,1,2016
2016-01-27,środa,1,0,0,5,27,1,2016
2016-01-28,czwartek,1,0,0,5,28,1,2016
2016-01-29,piątek,1,0,0,5,29,1,2016
2016-01-30,sobota,1,1,1,5,30,1,2016
2016-01-31,niedziela,0,1,1,5,31,1,2016
2016-02-01,poniedziałek,1,0,0,6,1,2,2016
2016-02-02,wtorek,1,0,0,6,2,2,2016
2016-02-03,środa,1,0,0,6,3,2,2016
2016-02-04,czwartek,1,0,0,6,4,2,2016
2016-02-05,piątek,1,0,0,6,5,2,2016
2016-02-06,sobota,1,1,1,6,6,2,2016
2016-02-07,niedziela,0,1,1,6,7,2,2016
2016-02-08,poniedziałek,1,0,0,7,8,2,2016
2016-02-09,wtorek,1,0,0,7,9,2,2016
2016-02-10,środa,1,0,0,7,10,2,2016
2016-02-11,czwartek,1,0,0,7,11,2,2016
2016-02-12,piątek,1,0,0,7,12,2,2016
2016-02-13,sobota,1,1,1,7,13,2,2016
2016-02-14,niedziela,0,1,1,7,14,2,2016
2016-02-15,poniedziałek,1,0,0,8,15,2,2016
2016-02-16,wtorek,1,0,0,8,16,2,2016
2016-02-17,środa,1,0,0,8,17,2,2016
2016-02-18,czwartek,1,0,0,8,18,2,2016
2016-02-19,piątek,1,0,0,8,19,2,2016
2016-02-20,sobota,1,1,1,8,20,2,2016
2016-02-21,niedziela,0,1,1,8,21,2,2016
2016-02-22,poniedziałek,1,0,0,9,22,2,2016
2016-02-23,wtorek,1,0,0,9,23,2,2016
2016-02-24,środa,1,0,0,9,24,2,2016
2016-02-25,czwartek,1,0,0,9,25,2,2016
2016-02-26,piątek,1,0,0,9,26,2,2016
2016-02-27,sobota,1,1,1,9,27,2,2016
2016-02-28,niedziela,0,1,1,9,28,2,2016
2016-02-29,poniedziałek,1,0,0,10,29,2,2016
2016-03-01,wtorek,1,0,0,10,1,3,2016
2016-03-02,środa,1,0,0,10,2,3,2016
2016-03-03,czwartek,1,0,0,10,3,3,2016
2016-03-04,piątek,1,0,0,10,4,3,2016
2016-03-05,sobota,1,1,1,10,5,3,2016
2016-03-06,niedziela,0,1,1,10,6,3,2016
2016-03-07,poniedziałek,1,0,0,11,7,3,2016
2016-03-08,wtorek,1,0,0,11,8,3,2016
2016-03-09,środa,1,0,0,11,9,3,2016
2016-03-10,czwartek,1,0,0,11,10,3,2016
2016-03-11,piątek,1,0,0,11,11,3,2016
2016-03-12,sobota,1,1,1,11,12,3,2016
2016-03-13,niedziela,0,1,1,11,13,3,2016
2016-03-14,poniedziałek,1,0,0,12,14,3,2016
2016-03-15,wtorek,1,0,0,12,15,3,2016
2016-03-16,środa,1,0,0,12,16,3,2016
