date,day,work,weekend,longweekend,reportweek,dayofmonth,month,year
2019-01-01,wtorek,1,0,1,1,1,1,2019
2019-01-02,środa,1,0,0,1,2,1,2019
2019-01-03,czwartek,1,0,0,1,3,1,2019
2019-01-04,piątek,1,0,0,1,4,1,2019
2019-01-05,sobota,0,1,1,1,5,1,2019
2019-01-06,niedziela,0,1,1,1,6,1,2019
2019-01-07,poniedziałek,1,0,0,2,7,1,2019
2019-01-08,wtorek,1,0,0,2,8,1,2019
2019-01-09,środa,1,0,0,2,9,1,2019
2019-01-10,czwartek,1,0,0,2,10,1,2019
2019-01-11,piątek,1,0,0,2,11,1,2019
2019-01-12,sobota,0,1,1,2,12,1,2019
2019-01-13,niedziela,0,1,1,2,13,1,2019
2019-01-14,poniedziałek,1,0,0,3,14,1,2019
2019-01-15,wtorek,1,0,0,3,15,1,2019
2019-01-16,środa,1,0,0,3,16,1,2019
2019-01-17,czwartek,1,0,0,3,17,1,2019
2019-01-18,piątek,1,0,0,3,18,1,2019
2019-01-19,sobota,0,1,1,3,19,1,2019
2019-01-20,niedziela,0,1,1,3,20,1,2019
2019-01-21,poniedziałek,1,0,0,4,21,1,2019
2019-01-22,wtorek,1,0,0,4,22,1,2019
2019-01-23,środa,1,0,0,4,23,1,2019
2019-01-24,czwartek,1,0,0,4,24,1,2019
2019-01-25,piątek,1,0,0,4,25,1,2019
2019-01-26,sobota,0,1,1,4,26,1,2019
2019-01-27,niedziela,0,1,1,4,27,1,2019
2019-01-28,poniedziałek,1,0,0,5,28,1,2019
2019-01-29,wtorek,1,0,0,5,29,1,2019
2019-01-30,środa,1,0,0,5,30,1,2019
2019-01-31,czwartek,1,0,0,5,31,1,2019
2019-02-01,piątek,1,0,0,5,1,2,2019
2019-02-02,sobota,0,1,1,5,2,2,2019
2019-02-03,niedziela,0,1,1,5,3,2,2019
2019-02-04,poniedziałek,1,0,0,6,4,2,2019
2019-02-05,wtorek,1,0,0,6,5,2,2019
2019-02-06,środa,1,0,0,6,6,2,2019
2019-02-07,czwartek,1,0,0,6,7,2,2019
2019-02-08,piątek,1,0,0,6,8,2,2019
2019-02-09,sobota,0,1,1,6,9,2,2019
2019-02-10,niedziela,0,1,1,6,10,2,2019
2019-02-11,poniedziałek,1,0,0,7,11,2,2019
2019-02-12,wtorek,1,0,0,7,12,2,2019
2019-02-13,środa,1,0,0,7,13,2,2019
2019-02-14,czwartek,1,0,0,7,14,2,2019
2019-02-15,piątek,1,0,0,7,15,2,2019
2019-02-16,sobota,0,1,1,7,16,2,2019
2019-02-17,niedziela,0,1,1,7,17,2,2019
2019-02-18,poniedziałek,1,0,0,8,18,2,2019
2019-02-19,wtorek,1,0,0,8,19,2,2019
2019-02-20,środa,1,0,0,8,20,2,2019
2019-02-21,czwartek,1,0,0,8,21,2,2019
2019-02-22,piątek,1,0,0,8,22,2,2019
2019-02-23,sobota,0,1,1,8,23,2,2019
2019-02-24,niedziela,0,1,1,8,24,2,2019
2019-02-25,poniedziałek,1,0,0,9,25,2,2019
2019-02-26,wtorek,1,0,0,9,26,2,2019
2019-02-27,środa,1,0,0,9,27,2,2019
2019-02-28,czwartek,1,0,0,9,28,2,2019
2019-03-01,piątek,1,0,0,9,1,3,2019
