date,day,work,weekend,longweekend,reportweek,dayofmonth,month,year
2018-01-01,poniedziałek,0,0,1,1,1,1,2018
2018-01-02,wtorek,1,0,0,1,2,1,2018
2018-01-03,środa,1,0,0,1,3,1,2018
2018-01-04,czwartek,1,0,0,1,4,1,2018
2018-01-05,piątek,1,0,0,1,5,1,2018
2018-01-06,sobota,0,1,1,1,6,1,2018
2018-01-07,niedziela,0,1,1,1,7,1,2018
2018-01-08,poniedziałek,1,0,0,2,8,1,2018
2018-01-09,wtorek,1,0,0,2,9,1,2018
2018-01-10,środa,1,0,0,2,10,1,2018
2018-01-11,czwartek,1,0,0,2,11,1,2018
2018-01-12,piątek,1,0,0,2,12,1,2018
2018-01-13,sobota,0,1,1,2,13,1,2018
2018-01-14,niedziela,0,1,1,2,14,1,2018
2018-01-15,poniedziałek,1,0,0,3,15,1,2018
2018-01-16,wtorek,1,0,0,3,16,1,2018
2018-01-17,środa,1,0,0,3,17,1,2018
2018-01-18,czwartek,1,0,0,3,18,1,2018
2018-01-19,piątek,1,0,0,3,19,1,2018
2018-01-20,sobota,0,1,1,3,20,1,2018
2018-01-21,niedziela,0,1,1,3,21,1,2018
2018-01-22,poniedziałek,1,0,0,4,22,1,2018
2018-01-23,wtorek,1,0,0,4,23,1,2018
2018-01-24,środa,1,0,0,4,24,1,2018
2018-01-25,czwartek,1,0,0,4,25,1,2018
2018-01-26,piątek,1,0,0,4,26,1,2018
2018-01-27,sobota,0,1,1,4,27,1,2018
2018-01-28,niedziela,0,1,1,4,28,1,2018
2018-01-29,poniedziałek,1,0,0,5,29,1,2018
2018-01-30,wtorek,1,0,0,5,30,1,2018
2018-01-31,środa,1,0,0,5,31,1,2018
2018-02-01,czwartek,1,0,0,5,1,2,2018
2018-02-02,piątek,1,0,0,5,2,2,2018
2018-02-03,sobota,0,1,1,5,3,2,2018
2018-02-04,niedziela,0,1,1,5,4,2,2018
2018-02-05,poniedziałek,1,0,0,6,5,2,2018
2018-02-06,wtorek,1,0,0,6,6,2,2018
2018-02-07,środa,1,0,0,6,7,2,2018
2018-02-08,czwartek,1,0,0,6,8,2,2018
2018-02-09,piątek,1,0,0,6,9,2,2018
2018-02-10,sobota,0,1,1,6,10,2,2018
2018-02-11,niedziela,0,1,1,6,11,2,2018
2018-02-12,poniedziałek,1,0,0,7,12,2,2018
2018-02-13,wtorek,1,0,0,7,13,2,2018
2018-02-14,środa,1,0,0,7,14,2,2018
2018-02-15,czwartek,1,0,0,7,15,2,2018
2018-02-16,piątek,1,0,0,7,16,2,2018
2018-02-17,sobota,0,1,1,7,17,2,2018
2018-02-18,niedziela,0,1,1,7,18,2,2018
2018-02-19,poniedziałek,1,0,0,8,19,2,2018
2018-02-20,wtorek,1,0,0,8,20,2,2018
2018-02-21,środa,1,0,0,8,21,2,2018
2018-02-22,czwartek,1,0,0,8,22,2,2018
2018-02-23,piątek,1,0,0,8,23,2,2018
2018-02-24,sobota,0,1,1,8,24,2,2018
2018-02-25,niedziela,0,1,1,8,25,2,2018
2018-02-26,poniedziałek,1,0,0,9,26,2,2018
2018-02-27,wtorek,1,0,0,9,27,2,2018
2018-02-28,środa,1,0,0,9,28,2,2018
2018-03-01,czwartek,1,0,0,9,1,3,2018
2018-03-02,piątek,1,0,0,9,2,3,2018
2018-03-03,sobota,0,1,1,9,3,3,2018
2018-03-04,niedziela,0,1,1,9,4,3,2018
2018-03-05,poniedziałek,1,0,0,10,5,3,2018
2018-03-06,wtorek,1,0,0,10,6,3,2018
2018-03-07,środa,1,0,0,10,7,3,2018
2018-03-08,czwartek,1,0,0,10,8,3,2018
2018-03-09,piątek,1,0,0,10,9,3,2018
2018-03-10,sobota,0,1,1,10,10,3,2018
2018-03-11,niedziela,0,1,1,10,11,3,2018
2018-03-12,poniedziałek,1,0,0,11,12,3,2018
2018-03-13,wtorek,1,0,0,11,13,3,2018
2018-03-14,środa,1,0,0,11,14,3,2018
2018-03-15,czwartek,1,0,0,11,15,3,2018
2018-03-16,piątek,1,0,0,11,16,3,2018
2018-03-17,sobota,0,1,1,11,17,3,2018
2018-03-18,niedziela,0,1,1,11,18,3,2018
2018-03-19,poniedziałek,1,0,0,12,19,3,2018
2018-03-20,wtorek,1,0,0,12,20,3,2018
2018-03-21,środa,1,0,0,12,21,3,2018
2018-03-22,czwartek,1,0,0,12,22,3,2018
2018-03-23,piątek,1,0,0,12,23,3,2018
2018-03-24,sobota,0,1,1,12,24,3,2018
2018-03-25,niedziela,0,1,1,12,25,3,2018
2018-03-26,poniedziałek,1,0,0,13,26,3,2018
2018-03-27,wtorek,1,0,0,13,27,3,2018
2018-03-28,środa,1,0,0,13,28,3,2018
2018-03-29,czwartek,1,0,0,13,29,3,2018
2018-03-30,piątek,1,0,0,13,30,3,2018
2018-03-31,sobota,0,1,1,13,31,3,2018
2018-04-01,niedziela,0,1,1,13,1,4,2018
2018-04-02,poniedziałek,0,0,1,14,2,4,2018
2018-04-03,wtorek,1,0,0,14,3,4,2018
2018-04-04,środa,1,0,0,14,4,4,2018
2018-04-05,czwartek,1,0,0,14,5,4,2018
2018-04-06,piątek,1,0,0,14,6,4,2018
2018-04-07,sobota,0,1,1,14,7,4,2018
2018-04-08,niedziela,0,1,1,14,8,4,2018
2018-04-09,poniedziałek,1,0,0,15,9,4,2018
2018-04-10,wtorek,1,0,0,15,10,4,2018
2018-04-11,środa,1,0,0,15,11,4,2018
2018-04-12,czwartek,1,0,0,15,12,4,2018
